WeatherDelay,AWND,PCRP,SNOW,AVGT,CMPND,,,,,,,,,,,,
266,-0.628228333,2.671389566,-0.201493861,0.493882335,4719.715,,,,,,,,,,,,
108,-1.193512005,1.189225536,-0.201493861,0.410991882,1781.2,,,,,,,,,,,,
53,-0.006416295,-0.495890416,-0.201493861,0.493882335,209.484,,,,,,AWND,,PCRP,,SNOW,,AVGT
54,-0.910870169,-0.059236283,-0.201493861,1.046485358,835.71,,,,,,4.611350575,,9.863182471,,4.588362069,,19.93757184
62,-0.232529763,1.20767571,-0.201493861,0.503092386,3147.06,,,,,,1.769023324,,16.26000868,,22.77172146,,10.85770391
106,0.276225541,0.703370936,-0.201493861,0.797813998,3106.818,,,,,,,,,,,,
59,1.915548189,-0.354439077,-0.201493861,0.668873293,892.16,,,,,,,,,,,,
59,-1.193512005,1.189225536,-0.201493861,0.410991882,1781.2,,,,,,,,,,,,
60,0.276225541,-0.557390998,-0.201493861,0.908334603,121.584,,,,,,,,,,,,
140,0.050112073,0.906322858,-0.201493861,-0.132401091,2138.97,,,,,,,,,,,,
32,-0.910870169,-0.059236283,-0.201493861,1.046485358,835.71,,,,,,,,,,,,
31,-1.419625474,-0.4835903,-0.201493861,0.687293393,115.08,,,,,,,,,,,,
88,-0.006416295,-0.495890416,-0.201493861,0.493882335,209.484,,,,,,,,,,,,
101,-0.232529763,1.20767571,-0.201493861,0.503092386,3147.06,,,,,,,,,,,,
130,0.615395744,1.890332172,-0.201493861,0.024169766,4674.684,,,,,,,,,,,,
72,1.463321252,-0.372889252,-0.201493861,0.60440294,725.04,,,,,,,,,,,,
70,-0.910870169,2.234735433,-0.201493861,0.318891378,3243.24,,,,,,,,,,,,
44,0.389282276,-0.010035817,-0.201493861,0.807024048,1475.467,,,,,,,,,,,,
32,0.10664044,-0.606591464,-0.201493861,0.466252184,0,,,,,,,,,,,,
53,0.728452479,-0.606591464,-0.201493861,-0.335022199,0,,,,,,,,,,,,
68,0.050112073,0.672620645,-0.201493861,1.267526567,3294.512,,,,,,,,,,,,
179,1.802491455,0.531169306,-0.201493861,0.567562738,3766.23,,,,,,,,,,,,
61,-0.571699966,0.020714474,-0.201493861,0.585982839,965.736,,,,,,,,,,,,
97,0.050112073,0.906322858,-0.201493861,-0.132401091,2138.97,,,,,,,,,,,,
77,-0.967398536,-0.385189368,-0.201493861,0.530722537,268.308,,,,,,,,,,,,
154,1.067622682,4.393405867,-0.201493861,0.770183847,14955.135,,,,,,,,,,,,
77,-0.232529763,0.063764882,-0.201493861,0.899124552,1359.666,,,,,,,,,,,,
63,1.067622682,4.393405867,-0.201493861,0.770183847,14955.135,,,,,,,,,,,,
114,-0.628228333,2.671389566,-0.201493861,0.493882335,4719.715,,,,,,,,,,,,
56,1.915548189,-0.354439077,-0.201493861,0.668873293,892.16,,,,,,,,,,,,
39,-0.232529763,1.20767571,-0.201493861,0.503092386,3147.06,,,,,,,,,,,,
151,-0.910870169,2.234735433,-0.201493861,0.318891378,3243.24,,,,,,,,,,,,
37,1.067622682,4.393405867,-0.201493861,0.770183847,14955.135,,,,,,,,,,,,
93,0.332753908,-0.606591464,-0.201493861,-0.335022199,0,,,,,,,,,,,,
51,1.067622682,4.393405867,-0.201493861,0.770183847,14955.135,,,,,,,,,,,,
206,-0.232529763,0.063764882,-0.201493861,0.899124552,1359.666,,,,,,,,,,,,
125,2.141661658,-0.606591464,-0.201493861,0.226790874,0,,,,,,,,,,,,
78,0.276225541,0.703370936,-0.201493861,0.797813998,3106.818,,,,,,,,,,,,
256,0.050112073,0.672620645,-0.201493861,1.267526567,3294.512,,,,,,,,,,,,
31,-0.910870169,2.234735433,-0.201493861,0.318891378,3243.24,,,,,,,,,,,,
41,-0.684756701,-0.422089718,-0.201493861,0.742553696,285.6,,,,,,,,,,,,
82,-0.232529763,0.063764882,-0.201493861,0.899124552,1359.666,,,,,,,,,,,,
179,0.050112073,0.672620645,-0.201493861,1.267526567,3294.512,,,,,,,,,,,,
41,0.728452479,-0.606591464,-0.201493861,-0.335022199,0,,,,,,,,,,,,
36,-0.628228333,2.671389566,-0.201493861,0.493882335,4719.715,,,,,,,,,,,,
45,-0.232529763,0.063764882,-0.201493861,0.899124552,1359.666,,,,,,,,,,,,
57,0.276225541,0.703370936,-0.201493861,0.797813998,3106.818,,,,,,,,,,,,
47,-1.193512005,1.189225536,-0.201493861,0.410991882,1781.2,,,,,,,,,,,,
61,1.406792885,-0.422089718,-0.201493861,0.245210975,481.38,,,,,,,,,,,,
37,0.389282276,-0.010035817,-0.201493861,0.807024048,1475.467,,,,,,,,,,,,
62,-0.232529763,0.063764882,-0.201493861,0.899124552,1359.666,,,,,,,,,,,,
234,-0.006416295,-0.495890416,-0.201493861,0.493882335,209.484,,,,,,,,,,,,
161,-0.232529763,1.20767571,-0.201493861,0.503092386,3147.06,,,,,,,,,,,,
61,-0.571699966,0.020714474,-0.201493861,0.585982839,965.736,,,,,,,,,,,,
136,-0.232529763,1.20767571,-0.201493861,0.503092386,3147.06,,,,,,,,,,,,
131,-0.910870169,2.234735433,-0.201493861,0.318891378,3243.24,,,,,,,,,,,,
127,-0.910870169,2.234735433,-0.201493861,0.318891378,3243.24,,,,,,,,,,,,
137,-0.910870169,2.234735433,-0.201493861,0.318891378,3243.24,,,,,,,,,,,,
40,0.276225541,-0.557390998,-0.201493861,0.908334603,121.584,,,,,,,,,,,,
30,0.389282276,-0.010035817,-0.201493861,0.807024048,1475.467,,,,,,,,,,,,
128,0.050112073,0.906322858,-0.201493861,-0.132401091,2138.97,,,,,,,,,,,,
142,-0.232529763,1.20767571,-0.201493861,0.503092386,3147.06,,,,,,,,,,,,
198,-1.193512005,1.189225536,-0.201493861,0.410991882,1781.2,,,,,,,,,,,,
45,-0.232529763,1.20767571,-0.201493861,0.503092386,3147.06,,,,,,,,,,,,
31,-0.232529763,0.063764882,-0.201493861,0.899124552,1359.666,,,,,,,,,,,,
57,1.68943472,-0.31138867,-0.201493861,-1.062616179,306.432,,,,,,,,,,,,
40,-1.419625474,-0.4835903,-0.201493861,0.687293393,115.08,,,,,,,,,,,,
234,-0.628228333,2.671389566,-0.201493861,0.493882335,4719.715,,,,,,,,,,,,
61,0.050112073,0.672620645,-0.201493861,1.267526567,3294.512,,,,,,,,,,,,
53,-0.232529763,1.20767571,-0.201493861,0.503092386,3147.06,,,,,,,,,,,,
114,-0.232529763,1.20767571,-0.201493861,0.503092386,3147.06,,,,,,,,,,,,
68,-1.193512005,1.189225536,-0.201493861,0.410991882,1781.2,,,,,,,,,,,,
96,0.050112073,0.672620645,-0.201493861,1.267526567,3294.512,,,,,,,,,,,,
47,1.68943472,-0.31138867,-0.201493861,-1.062616179,306.432,,,,,,,,,,,,
90,-0.967398536,-0.385189368,-0.201493861,0.530722537,268.308,,,,,,,,,,,,
40,1.463321252,-0.372889252,-0.201493861,0.60440294,725.04,,,,,,,,,,,,
32,-1.306568739,-0.606591464,-0.201493861,0.226790874,0,,,,,,,,,,,,
45,-0.910870169,-0.557390998,-0.201493861,1.055695409,75.36,,,,,,,,,,,,
33,1.68943472,-0.31138867,-0.201493861,-1.062616179,306.432,,,,,,,,,,,,
96,-0.628228333,2.671389566,-0.201493861,0.493882335,4719.715,,,,,,,,,,,,
47,0.219697174,0.285166977,-0.201493861,-0.325812149,1189,,,,,,,,,,,,
143,-0.232529763,1.20767571,-0.201493861,0.503092386,3147.06,,,,,,,,,,,,
37,1.68943472,-0.31138867,-0.201493861,-1.062616179,306.432,,,,,,,,,,,,
98,-0.628228333,2.671389566,-0.201493861,0.493882335,4719.715,,,,,,,,,,,,
65,0.276225541,0.703370936,-0.201493861,0.797813998,3106.818,,,,,,,,,,,,
44,0.050112073,0.906322858,-0.201493861,-0.132401091,2138.97,,,,,,,,,,,,
49,-1.419625474,-0.4835903,-0.201493861,0.687293393,115.08,,,,,,,,,,,,
64,-0.684756701,-0.422089718,-0.201493861,0.742553696,285.6,,,,,,,,,,,,
51,-0.232529763,1.20767571,-0.201493861,0.503092386,3147.06,,,,,,,,,,,,
93,0.615395744,1.890332172,-0.201493861,0.024169766,4674.684,,,,,,,,,,,,
66,-0.571699966,0.020714474,-0.201493861,0.585982839,965.736,,,,,,,,,,,,
315,-0.232529763,0.063764882,-0.201493861,0.899124552,1359.666,,,,,,,,,,,,
55,-0.967398536,-0.385189368,-0.201493861,0.530722537,268.308,,,,,,,,,,,,
79,0.276225541,0.703370936,-0.201493861,0.797813998,3106.818,,,,,,,,,,,,
38,-0.910870169,2.234735433,-0.201493861,0.318891378,3243.24,,,,,,,,,,,,
94,1.463321252,-0.372889252,-0.201493861,0.60440294,725.04,,,,,,,,,,,,
36,-0.571699966,0.020714474,-0.201493861,0.585982839,965.736,,,,,,,,,,,,
235,-1.193512005,1.189225536,-0.201493861,0.410991882,1781.2,,,,,,,,,,,,
69,-0.910870169,2.234735433,-0.201493861,0.318891378,3243.24,,,,,,,,,,,,
65,-0.910870169,2.234735433,-0.201493861,0.318891378,3243.24,,,,,,,,,,,,
68,-0.910870169,2.234735433,-0.201493861,0.318891378,3243.24,,,,,,,,,,,,
40,1.915548189,-0.354439077,-0.201493861,0.668873293,892.16,,,,,,,,,,,,
80,-0.967398536,-0.606591464,-0.201493861,-1.587589051,0,,,,,,,,,,,,
190,-0.910870169,2.234735433,-0.201493861,0.318891378,3243.24,,,,,,,,,,,,
105,-0.628228333,2.671389566,-0.201493861,0.493882335,4719.715,,,,,,,,,,,,
102,-0.967398536,-0.606591464,-0.201493861,0.935964754,0,,,,,,,,,,,,
278,0.276225541,0.703370936,-0.201493861,0.797813998,3106.818,,,,,,,,,,,,
132,-0.232529763,1.20767571,-0.201493861,0.503092386,3147.06,,,,,,,,,,,,
118,0.615395744,1.890332172,-0.201493861,0.024169766,4674.684,,,,,,,,,,,,
62,-0.232529763,0.063764882,-0.201493861,0.899124552,1359.666,,,,,,,,,,,,
115,0.050112073,0.672620645,-0.201493861,1.267526567,3294.512,,,,,,,,,,,,
61,0.276225541,0.703370936,-0.201493861,0.797813998,3106.818,,,,,,,,,,,,
46,0.728452479,-0.606591464,-0.201493861,-0.335022199,0,,,,,,,,,,,,
74,1.067622682,4.393405867,-0.201493861,0.770183847,14955.135,,,,,,,,,,,,
30,-0.967398536,-0.385189368,-0.201493861,0.530722537,268.308,,,,,,,,,,,,
142,1.463321252,-0.372889252,-0.201493861,0.60440294,725.04,,,,,,,,,,,,
55,-0.571699966,0.020714474,-0.201493861,0.585982839,965.736,,,,,,,,,,,,
40,0.050112073,0.906322858,-0.201493861,-0.132401091,2138.97,,,,,,,,,,,,
72,0.050112073,0.672620645,-0.201493861,1.267526567,3294.512,,,,,,,,,,,,
79,-1.136983638,-0.606591464,-0.201493861,1.055695409,0,,,,,,,,,,,,
71,0.728452479,-0.606591464,-0.201493861,-0.335022199,0,,,,,,,,,,,,
77,-0.910870169,2.234735433,-0.201493861,0.318891378,3243.24,,,,,,,,,,,,
184,0.615395744,1.890332172,-0.201493861,0.024169766,4674.684,,,,,,,,,,,,
58,-0.967398536,-0.606591464,-0.201493861,0.935964754,0,,,,,,,,,,,,
77,-0.910870169,2.234735433,-0.201493861,0.318891378,3243.24,,,,,,,,,,,,
88,-0.684756701,-0.422089718,-0.201493861,0.742553696,285.6,,,,,,,,,,,,
103,-1.193512005,1.189225536,-0.201493861,0.410991882,1781.2,,,,,,,,,,,,
135,-0.006416295,-0.495890416,-0.201493861,0.493882335,209.484,,,,,,,,,,,,
122,0.615395744,1.890332172,-0.201493861,0.024169766,4674.684,,,,,,,,,,,,
80,-0.910870169,2.234735433,-0.201493861,0.318891378,3243.24,,,,,,,,,,,,
82,-0.628228333,2.671389566,-0.201493861,0.493882335,4719.715,,,,,,,,,,,,
64,-0.571699966,0.020714474,-0.201493861,0.585982839,965.736,,,,,,,,,,,,
63,-0.910870169,-0.059236283,-0.201493861,1.046485358,835.71,,,,,,,,,,,,
39,0.050112073,0.672620645,-0.201493861,1.267526567,3294.512,,,,,,,,,,,,
107,0.050112073,0.672620645,-0.201493861,1.267526567,3294.512,,,,,,,,,,,,
77,-0.910870169,-0.059236283,-0.201493861,1.046485358,835.71,,,,,,,,,,,,
43,-0.232529763,1.20767571,-0.201493861,0.503092386,3147.06,,,,,,,,,,,,
48,-1.193512005,1.189225536,-0.201493861,0.410991882,1781.2,,,,,,,,,,,,
48,0.276225541,0.703370936,-0.201493861,0.797813998,3106.818,,,,,,,,,,,,
39,1.915548189,-0.354439077,-0.201493861,0.668873293,892.16,,,,,,,,,,,,
59,-0.232529763,0.063764882,-0.201493861,0.899124552,1359.666,,,,,,,,,,,,
43,-0.910870169,-0.059236283,-0.201493861,1.046485358,835.71,,,,,,,,,,,,
59,0.276225541,-0.557390998,-0.201493861,0.908334603,121.584,,,,,,,,,,,,
46,0.615395744,1.890332172,-0.201493861,0.024169766,4674.684,,,,,,,,,,,,
55,3.215700634,0.051464765,-0.201493861,0.171530572,2402.578,,,,,,,,,,,,
36,0.276225541,-0.557390998,-0.201493861,0.908334603,121.584,,,,,,,,,,,,
47,1.68943472,-0.31138867,-0.201493861,-1.062616179,306.432,,,,,,,,,,,,
105,0.050112073,0.906322858,-0.201493861,-0.132401091,2138.97,,,,,,,,,,,,
35,0.276225541,-0.557390998,-0.201493861,0.908334603,121.584,,,,,,,,,,,,
46,-0.967398536,-0.385189368,-0.201493861,0.530722537,268.308,,,,,,,,,,,,
31,-0.910870169,2.234735433,-0.201493861,0.318891378,3243.24,,,,,,,,,,,,
31,-1.136983638,-0.606591464,-0.201493861,1.055695409,0,,,,,,,,,,,,
174,-0.628228333,2.671389566,-0.201493861,0.493882335,4719.715,,,,,,,,,,,,
33,-0.967398536,-0.385189368,-0.201493861,0.530722537,268.308,,,,,,,,,,,,
105,-1.136983638,-0.606591464,-0.201493861,1.055695409,0,,,,,,,,,,,,
85,-0.571699966,-0.606591464,-0.201493861,0.991225056,0,,,,,,,,,,,,
