WeatherDelay,AWND,PCRP,SNOW,AVGT,CMPND
0,-0.708239865,-0.631550431,0,-0.787444127,-0.52901032
0,0.302535129,-0.631550431,0,1.204597644,-0.52901032
1,-0.652085698,2.50106565,0,0.331373854,1.504067315
1,-1.213627362,1.084629486,0,0.208576758,0.238264374
1,-0.034389869,-0.525758518,0,0.331373854,-0.438772406
0,-1.382089861,-0.631550431,0,-1.387785483,-0.52901032
0,-1.719014859,-0.631550431,0,-0.296255745,-0.52901032
1,-0.93285653,-0.108468196,0,1.150021157,-0.169017543
0,-0.989010696,-0.631550431,0,0.495103314,-0.52901032
1,-0.259006534,1.102261471,0,0.345017976,0.826626049
0,-1.045164863,-0.631550431,0,-2.356518124,-0.52901032
0,0.077918464,-0.631550431,0,-0.882952979,-0.52901032
1,0.246380963,0.620320536,0,0.781629871,0.809291292
0,1.144847624,-0.631550431,0,0.276797367,-0.52901032
1,1.874851786,-0.390579963,0,0.590612167,-0.144700983
1,-1.213627362,1.084629486,0,0.208576758,0.238264374
1,0.246380963,-0.584531803,0,0.945359331,-0.476636456
0,-1.157473195,-0.543390504,0,-0.514561693,-0.496922799
0,0.527151794,-0.631550431,0,1.01357994,-0.52901032
0,0.302535129,-0.631550431,0,1.204597644,-0.52901032
1,0.021764297,0.814272376,0,-0.596426423,0.39237838
0,-0.259006534,-0.631550431,0,0.945359331,-0.52901032
1,-0.93285653,-0.108468196,0,1.150021157,-0.169017543
1,-1.438244027,-0.514003862,0,0.61790041,-0.479438137
0,-0.034389869,-0.108468196,0,-0.446341084,-0.183355913
1,-0.034389869,-0.525758518,0,0.331373854,-0.438772406
0,-1.438244027,-0.631550431,0,-0.73286764,-0.52901032
1,-0.259006534,1.102261471,0,0.345017976,0.826626049
1,0.583305961,1.754644933,0,-0.364476354,1.484669636
0,-0.090544035,-0.631550431,0,-2.220076907,-0.52901032
0,-1.045164863,-0.631550431,0,-2.356518124,-0.52901032
0,0.976385125,-0.167241481,0,0.113067906,-0.012839321
1,1.425618455,-0.408211949,0,0.495103314,-0.216690061
0,-0.483623199,-0.631550431,0,-0.350832232,-0.52901032
0,-0.539777366,-0.455230577,0,0.345017976,-0.407561057
0,1.088693458,-0.631550431,0,-0.473629327,-0.52901032
1,-0.93285653,2.083775328,0,0.072135541,0.868056815
1,0.358689295,-0.061449568,0,0.795273992,0.106565972
1,0.077918464,-0.631550431,0,0.290441489,-0.52901032
0,2.043314285,-0.631550431,0,-1.769820891,-0.52901032
0,-0.989010696,-0.631550431,0,0.495103314,-0.52901032
0,-1.101319029,-0.631550431,0,-2.192788664,-0.52901032
1,0.695614293,-0.631550431,0,-0.896597101,-0.52901032
1,0.021764297,0.590933893,0,1.477480078,0.890142885
1,1.762543453,0.455755338,0,0.440526828,1.09334145
0,1.762543453,-0.631550431,0,0.645188653,-0.52901032
0,0.864076792,-0.167241481,0,0.440526828,0.021667363
1,-0.595931532,-0.032062926,0,0.467815071,-0.113007179
1,0.021764297,0.814272376,0,-0.596426423,0.39237838
0,1.425618455,-0.631550431,0,-0.200746893,-0.52901032
0,0.246380963,-0.631550431,0,-1.04668244,-0.52901032
0,0.864076792,-0.167241481,0,0.440526828,0.021667363
1,-0.989010696,-0.419966606,0,0.385950341,-0.413433215
1,1.032539291,4.146717625,0,0.740697505,5.913105465
0,0.75176846,-0.631550431,0,1.272818252,-0.52901032
0,-0.202852368,-0.631550431,0,-0.951173588,-0.52901032
1,-0.259006534,0.009078373,0,0.931715209,0.05668321
0,2.324085117,-0.572777146,0,-0.473629327,-0.455470495
0,-0.427469033,-0.631550431,0,0.781629871,-0.52901032
1,1.032539291,4.146717625,0,0.740697505,5.913105465
1,-0.652085698,2.50106565,0,0.331373854,1.504067315
1,1.874851786,-0.390579963,0,0.590612167,-0.144700983
1,-0.259006534,1.102261471,0,0.345017976,0.826626049
1,-0.93285653,2.083775328,0,0.072135541,0.868056815
1,1.032539291,4.146717625,0,0.740697505,5.913105465
0,-1.045164863,-0.631550431,0,-2.356518124,-0.52901032
1,0.302535129,-0.631550431,0,-0.896597101,-0.52901032
1,1.032539291,4.146717625,0,0.740697505,5.913105465
0,-0.820548197,-0.613918446,0,-1.469650213,-0.524006579
1,-0.259006534,0.009078373,0,0.931715209,0.05668321
1,2.099468451,-0.631550431,0,-0.064305676,-0.52901032
1,0.246380963,0.620320536,0,0.781629871,0.809291292
0,-1.382089861,-0.631550431,0,-1.387785483,-0.52901032
1,0.021764297,0.590933893,0,1.477480078,0.890142885
0,-0.764394031,-0.631550431,0,-0.132526285,-0.52901032
1,-0.93285653,2.083775328,0,0.072135541,0.868056815
0,-0.539777366,-0.631550431,0,-2.533891707,-0.52901032
1,-0.708239865,-0.455230577,0,0.69976514,-0.405984465
0,1.20100179,-0.631550431,0,-1.305920752,-0.52901032
1,-0.259006534,0.009078373,0,0.931715209,0.05668321
1,0.021764297,0.590933893,0,1.477480078,0.890142885
0,-0.93285653,-0.631550431,0,0.754341627,-0.52901032
0,0.695614293,-0.631550431,0,0.877138723,-0.52901032
0,0.190226796,-0.631550431,0,-1.551514943,-0.52901032
0,1.650235121,-0.631550431,0,-1.892617986,-0.52901032
1,0.695614293,-0.631550431,0,-0.896597101,-0.52901032
1,-0.652085698,2.50106565,0,0.331373854,1.504067315
0,-0.93285653,-0.484617219,0,-0.801088249,-0.474088063
0,0.470997628,-0.631550431,0,-0.419052841,-0.52901032
1,-0.259006534,0.009078373,0,0.931715209,0.05668321
1,0.246380963,0.620320536,0,0.781629871,0.809291292
1,-1.213627362,1.084629486,0,0.208576758,0.238264374
1,1.369464289,-0.455230577,0,-0.037017433,-0.321649725
0,1.369464289,-0.455230577,0,-0.037017433,-0.321649725
1,0.358689295,-0.061449568,0,0.795273992,0.106565972
0,-0.93285653,0.367595411,0,0.14035615,-0.003953546
0,2.043314285,-0.631550431,0,-1.769820891,-0.52901032
0,-0.989010696,-0.631550431,0,-0.500917571,-0.52901032
1,-0.259006534,0.009078373,0,0.931715209,0.05668321
1,-0.034389869,-0.525758518,0,0.331373854,-0.438772406
0,0.077918464,-0.631550431,0,0.290441489,-0.52901032
0,1.931005952,-0.514003862,0,1.190953522,-0.308494229
1,-0.259006534,1.102261471,0,0.345017976,0.826626049
1,-0.595931532,-0.032062926,0,0.467815071,-0.113007179
1,-0.259006534,1.102261471,0,0.345017976,0.826626049
0,-0.820548197,-0.631550431,0,-0.637358788,-0.52901032
0,0.302535129,-0.631550431,0,-0.896597101,-0.52901032
0,0.695614293,-0.631550431,0,-0.896597101,-0.52901032
1,-0.93285653,2.083775328,0,0.072135541,0.868056815
1,-0.93285653,2.083775328,0,0.072135541,0.868056815
0,0.190226796,-0.631550431,0,-1.838041499,-0.52901032
0,-0.371314867,-0.631550431,0,-2.861350628,-0.52901032
0,-1.101319029,-0.631550431,0,-0.869308857,-0.52901032
1,-0.93285653,2.083775328,0,0.072135541,0.868056815
0,-0.034389869,-0.631550431,0,-1.769820891,-0.52901032
1,0.246380963,-0.584531803,0,0.945359331,-0.476636456
0,-1.213627362,-0.631550431,0,0.863494601,-0.52901032
0,-0.93285653,-0.631550431,0,0.863494601,-0.52901032
0,-0.708239865,-0.631550431,0,-2.069991568,-0.52901032
0,0.470997628,-0.631550431,0,-0.419052841,-0.52901032
1,0.358689295,-0.061449568,0,0.795273992,0.106565972
1,0.021764297,0.814272376,0,-0.596426423,0.39237838
1,-0.259006534,1.102261471,0,0.345017976,0.826626049
0,-1.325935694,-0.631550431,0,-0.064305676,-0.52901032
1,-1.213627362,1.084629486,0,0.208576758,0.238264374
0,-0.708239865,-0.631550431,0,-0.514561693,-0.52901032
0,-0.93285653,-0.631550431,0,0.754341627,-0.52901032
1,-0.259006534,1.102261471,0,0.345017976,0.826626049
0,-0.820548197,1.037610858,0,-0.432696962,0.242199823
1,-0.259006534,0.009078373,0,0.931715209,0.05668321
0,-0.427469033,-0.631550431,0,-1.224056022,-0.52901032
0,-0.708239865,-0.631550431,0,-0.514561693,-0.52901032
1,1.650235121,-0.349438664,0,-1.974482716,-0.397010814
1,-1.438244027,-0.514003862,0,0.61790041,-0.479438137
0,0.695614293,-0.631550431,0,0.672476897,-0.52901032
1,-0.652085698,2.50106565,0,0.331373854,1.504067315
1,0.021764297,0.590933893,0,1.477480078,0.890142885
1,-0.259006534,1.102261471,0,0.345017976,0.826626049
1,-0.259006534,1.102261471,0,0.345017976,0.826626049
1,-1.213627362,1.084629486,0,0.208576758,0.238264374
0,-0.090544035,-0.631550431,0,-1.292276631,-0.52901032
1,0.021764297,0.590933893,0,1.477480078,0.890142885
0,-1.438244027,-0.514003862,0,0.61790041,-0.479438137
1,1.650235121,-0.349438664,0,-1.974482716,-0.397010814
1,-0.989010696,-0.419966606,0,0.385950341,-0.413433215
