WeatherDelay,AWND,PCRP,SNOW,AVGT,CMPND
0,-0.684756701,-0.606591464,-0.201493861,-0.261341796,0
0,0.332753908,-0.606591464,-0.201493861,1.08332556,0
1,-0.628228333,2.671389566,-0.201493861,0.493882335,4719.715
1,-1.193512005,1.189225536,-0.201493861,0.410991882,1781.2
1,-0.006416295,-0.495890416,-0.201493861,0.493882335,209.484
0,-1.363097106,-0.606591464,-0.201493861,-0.666584013,0
0,-1.702267309,-0.606591464,-0.201493861,0.070220018,0
1,-0.910870169,-0.059236283,-0.201493861,1.046485358,835.71
0,-0.967398536,-0.606591464,-0.201493861,0.60440294,0
1,-0.232529763,1.20767571,-0.201493861,0.503092386,3147.06
0,-1.023926904,-0.606591464,-0.201493861,-1.32049759,0
0,0.10664044,-0.606591464,-0.201493861,-0.325812149,0
1,0.276225541,0.703370936,-0.201493861,0.797813998,3106.818
0,1.180679416,-0.606591464,-0.201493861,0.457042134,0
1,1.915548189,-0.354439077,-0.201493861,0.668873293,892.16
1,-1.193512005,1.189225536,-0.201493861,0.410991882,1781.2
1,0.276225541,-0.557390998,-0.201493861,0.908334603,121.584
0,-1.136983638,-0.514340591,-0.201493861,-0.077140788,74.49
0,0.558867377,-0.606591464,-0.201493861,0.954384854,0
0,0.332753908,-0.606591464,-0.201493861,1.08332556,0
1,0.050112073,0.906322858,-0.201493861,-0.132401091,2138.97
0,-0.232529763,-0.606591464,-0.201493861,0.908334603,0
1,-0.910870169,-0.059236283,-0.201493861,1.046485358,835.71
1,-1.419625474,-0.4835903,-0.201493861,0.687293393,115.08
0,-0.006416295,-0.059236283,-0.201493861,-0.031090536,802.424
1,-0.006416295,-0.495890416,-0.201493861,0.493882335,209.484
0,-1.419625474,-0.606591464,-0.201493861,-0.224501594,0
1,-0.232529763,1.20767571,-0.201493861,0.503092386,3147.06
1,0.615395744,1.890332172,-0.201493861,0.024169766,4674.684
0,-0.062944662,-0.606591464,-0.201493861,-1.228397086,0
0,-1.023926904,-0.606591464,-0.201493861,-1.32049759,0
0,1.011094314,-0.120736865,-0.201493861,0.346521529,1198.272
1,1.463321252,-0.372889252,-0.201493861,0.60440294,725.04
0,-0.458643232,-0.606591464,-0.201493861,0.033379816,0
0,-0.515171599,-0.422089718,-0.201493861,0.503092386,281.94
0,1.124151049,-0.606591464,-0.201493861,-0.049510637,0
1,-0.910870169,2.234735433,-0.201493861,0.318891378,3243.24
1,0.389282276,-0.010035817,-0.201493861,0.807024048,1475.467
1,0.10664044,-0.606591464,-0.201493861,0.466252184,0
0,2.085133291,-0.606591464,-0.201493861,-0.924465424,0
0,-0.967398536,-0.606591464,-0.201493861,0.60440294,0
0,-1.080455271,-0.606591464,-0.201493861,-1.209976985,0
1,0.728452479,-0.606591464,-0.201493861,-0.335022199,0
1,0.050112073,0.672620645,-0.201493861,1.267526567,3294.512
1,1.802491455,0.531169306,-0.201493861,0.567562738,3766.23
0,1.802491455,-0.606591464,-0.201493861,0.705713494,0
0,0.89803758,-0.120736865,-0.201493861,0.567562738,1278.378
1,-0.571699966,0.020714474,-0.201493861,0.585982839,965.736
1,0.050112073,0.906322858,-0.201493861,-0.132401091,2138.97
0,1.463321252,-0.606591464,-0.201493861,0.13469037,0
0,0.276225541,-0.606591464,-0.201493861,-0.436332753,0
0,0.89803758,-0.120736865,-0.201493861,0.567562738,1278.378
1,-0.967398536,-0.385189368,-0.201493861,0.530722537,268.308
1,1.067622682,4.393405867,-0.201493861,0.770183847,14955.135
0,0.784980846,-0.606591464,-0.201493861,1.129375812,0
0,-0.176001396,-0.606591464,-0.201493861,-0.371862401,0
1,-0.232529763,0.063764882,-0.201493861,0.899124552,1359.666
0,2.367775126,-0.545090882,-0.201493861,-0.049510637,170.72
0,-0.402114865,-0.606591464,-0.201493861,0.797813998,0
1,1.067622682,4.393405867,-0.201493861,0.770183847,14955.135
