WeatherDelay,AWND,PCRP,SNOW,AVGT,CMPND,,,,,,,,,,,,
0,3.4,0,0,17.1,0,,,,,,,,,,,,
0,5.2,0,0,31.7,0,,,,,,,,,,,,
266,3.5,53.3,0,25.3,4719.715,,,,,,AWND,,PCRP,,SNOW,,AVGT
108,2.5,29.2,0,24.4,1781.2,,,,,,4.611350575,,9.863182471,,4.588362069,,19.93757184
53,4.6,1.8,0,25.3,209.484,,,,,,1.769023324,,16.26000868,,22.77172146,,10.85770391
0,2.2,0,0,12.7,0,,,,,,,,,,,,
0,1.6,0,0,20.7,0,,,,,,,,,,,,
54,3,8.9,0,31.3,835.71,,,,,,,,,,,,
0,2.9,0,0,26.5,0,,,,,,,,,,,,
62,4.2,29.5,0,25.4,3147.06,,,,,,,,,,,,
0,2.8,0,0,5.6,0,,,,,,,,,,,,
0,4.8,0,0,16.4,0,,,,,,,,,,,,
106,5.1,21.3,0,28.6,3106.818,,,,,,,,,,,,
0,6.7,0,0,24.9,0,,,,,,,,,,,,
59,8,4.1,0,27.2,892.16,,,,,,,,,,,,
59,2.5,29.2,0,24.4,1781.2,,,,,,,,,,,,
60,5.1,0.8,0,29.8,121.584,,,,,,,,,,,,
0,2.6,1.5,0,19.1,74.49,,,,,,,,,,,,
0,5.6,0,0,30.3,0,,,,,,,,,,,,
0,5.2,0,0,31.7,0,,,,,,,,,,,,
140,4.7,24.6,0,18.5,2138.97,,,,,,,,,,,,
0,4.2,0,0,29.8,0,,,,,,,,,,,,
32,3,8.9,0,31.3,835.71,,,,,,,,,,,,
31,2.1,2,0,27.4,115.08,,,,,,,,,,,,
0,4.6,8.9,0,19.6,802.424,,,,,,,,,,,,
88,4.6,1.8,0,25.3,209.484,,,,,,,,,,,,
0,2.1,0,0,17.5,0,,,,,,,,,,,,
101,4.2,29.5,0,25.4,3147.06,,,,,,,,,,,,
130,5.7,40.6,0,20.2,4674.684,,,,,,,,,,,,
0,4.5,0,0,6.6,0,,,,,,,,,,,,
0,2.8,0,0,5.6,0,,,,,,,,,,,,
0,6.4,7.9,0,23.7,1198.272,,,,,,,,,,,,
72,7.2,3.8,0,26.5,725.04,,,,,,,,,,,,
0,3.8,0,0,20.3,0,,,,,,,,,,,,
0,3.7,3,0,25.4,281.94,,,,,,,,,,,,
0,6.6,0,0,19.4,0,,,,,,,,,,,,
70,3,46.2,0,23.4,3243.24,,,,,,,,,,,,
44,5.3,9.7,0,28.7,1475.467,,,,,,,,,,,,
32,4.8,0,0,25,0,,,,,,,,,,,,
0,8.3,0,0,9.9,0,,,,,,,,,,,,
0,2.9,0,0,26.5,0,,,,,,,,,,,,
0,2.7,0,0,6.8,0,,,,,,,,,,,,
53,5.9,0,0,16.3,0,,,,,,,,,,,,
68,4.7,20.8,0,33.7,3294.512,,,,,,,,,,,,
179,7.8,18.5,0,26.1,3766.23,,,,,,,,,,,,
0,7.8,0,0,27.6,0,,,,,,,,,,,,
0,6.2,7.9,0,26.1,1278.378,,,,,,,,,,,,
61,3.6,10.2,0,26.3,965.736,,,,,,,,,,,,
97,4.7,24.6,0,18.5,2138.97,,,,,,,,,,,,
0,7.2,0,0,21.4,0,,,,,,,,,,,,
0,5.1,0,0,15.2,0,,,,,,,,,,,,
0,6.2,7.9,0,26.1,1278.378,,,,,,,,,,,,
77,2.9,3.6,0,25.7,268.308,,,,,,,,,,,,
154,6.5,81.3,0,28.3,14955.135,,,,,,,,,,,,
0,6,0,0,32.2,0,,,,,,,,,,,,
0,4.3,0,0,15.9,0,,,,,,,,,,,,
77,4.2,10.9,0,29.7,1359.666,,,,,,,,,,,,
0,8.8,1,0,19.4,170.72,,,,,,,,,,,,
0,3.9,0,0,28.6,0,,,,,,,,,,,,
63,6.5,81.3,0,28.3,14955.135,,,,,,,,,,,,
114,3.5,53.3,0,25.3,4719.715,,,,,,,,,,,,
56,8,4.1,0,27.2,892.16,,,,,,,,,,,,
39,4.2,29.5,0,25.4,3147.06,,,,,,,,,,,,
151,3,46.2,0,23.4,3243.24,,,,,,,,,,,,
37,6.5,81.3,0,28.3,14955.135,,,,,,,,,,,,
0,2.8,0,0,5.6,0,,,,,,,,,,,,
93,5.2,0,0,16.3,0,,,,,,,,,,,,
51,6.5,81.3,0,28.3,14955.135,,,,,,,,,,,,
0,3.2,0.3,0,12.1,11.616,,,,,,,,,,,,
206,4.2,10.9,0,29.7,1359.666,,,,,,,,,,,,
125,8.4,0,0,22.4,0,,,,,,,,,,,,
78,5.1,21.3,0,28.6,3106.818,,,,,,,,,,,,
0,2.2,0,0,12.7,0,,,,,,,,,,,,
256,4.7,20.8,0,33.7,3294.512,,,,,,,,,,,,
0,3.3,0,0,21.9,0,,,,,,,,,,,,
31,3,46.2,0,23.4,3243.24,,,,,,,,,,,,
0,3.7,0,0,4.3,0,,,,,,,,,,,,
41,3.4,3,0,28,285.6,,,,,,,,,,,,
0,6.8,0,0,13.3,0,,,,,,,,,,,,
82,4.2,10.9,0,29.7,1359.666,,,,,,,,,,,,
179,4.7,20.8,0,33.7,3294.512,,,,,,,,,,,,
0,3,0,0,28.4,0,,,,,,,,,,,,
0,5.9,0,0,29.3,0,,,,,,,,,,,,
0,5,0,0,11.5,0,,,,,,,,,,,,
0,7.6,0,0,9,0,,,,,,,,,,,,
41,5.9,0,0,16.3,0,,,,,,,,,,,,
36,3.5,53.3,0,25.3,4719.715,,,,,,,,,,,,
0,3,2.5,0,17,127.5,,,,,,,,,,,,
0,5.5,0,0,19.8,0,,,,,,,,,,,,
45,4.2,10.9,0,29.7,1359.666,,,,,,,,,,,,
57,5.1,21.3,0,28.6,3106.818,,,,,,,,,,,,
47,2.5,29.2,0,24.4,1781.2,,,,,,,,,,,,
61,7.1,3,0,22.6,481.38,,,,,,,,,,,,
0,7.1,3,0,22.6,481.38,,,,,,,,,,,,
37,5.3,9.7,0,28.7,1475.467,,,,,,,,,,,,
0,3,17,0,23.9,1218.9,,,,,,,,,,,,
0,8.3,0,0,9.9,0,,,,,,,,,,,,
0,2.9,0,0,19.2,0,,,,,,,,,,,,
62,4.2,10.9,0,29.7,1359.666,,,,,,,,,,,,
234,4.6,1.8,0,25.3,209.484,,,,,,,,,,,,
0,4.8,0,0,25,0,,,,,,,,,,,,
0,8.1,2,0,31.6,511.92,,,,,,,,,,,,
161,4.2,29.5,0,25.4,3147.06,,,,,,,,,,,,
61,3.6,10.2,0,26.3,965.736,,,,,,,,,,,,
136,4.2,29.5,0,25.4,3147.06,,,,,,,,,,,,
0,3.2,0,0,18.2,0,,,,,,,,,,,,
0,5.2,0,0,16.3,0,,,,,,,,,,,,
0,5.9,0,0,16.3,0,,,,,,,,,,,,
131,3,46.2,0,23.4,3243.24,,,,,,,,,,,,
127,3,46.2,0,23.4,3243.24,,,,,,,,,,,,
0,5,0,0,9.4,0,,,,,,,,,,,,
0,4,0,0,1.9,0,,,,,,,,,,,,
0,2.7,0,0,16.5,0,,,,,,,,,,,,
137,3,46.2,0,23.4,3243.24,,,,,,,,,,,,
0,4.6,0,0,9.9,0,,,,,,,,,,,,
40,5.1,0.8,0,29.8,121.584,,,,,,,,,,,,
0,2.5,0,0,29.2,0,,,,,,,,,,,,
0,3,0,0,29.2,0,,,,,,,,,,,,
0,3.4,0,0,7.7,0,,,,,,,,,,,,
0,5.5,0,0,19.8,0,,,,,,,,,,,,
30,5.3,9.7,0,28.7,1475.467,,,,,,,,,,,,
128,4.7,24.6,0,18.5,2138.97,,,,,,,,,,,,
142,4.2,29.5,0,25.4,3147.06,,,,,,,,,,,,
0,2.3,0,0,22.4,0,,,,,,,,,,,,
198,2.5,29.2,0,24.4,1781.2,,,,,,,,,,,,
0,3.4,0,0,19.1,0,,,,,,,,,,,,
0,3,0,0,28.4,0,,,,,,,,,,,,
45,4.2,29.5,0,25.4,3147.06,,,,,,,,,,,,
0,3.2,28.4,0,19.7,1790.336,,,,,,,,,,,,
31,4.2,10.9,0,29.7,1359.666,,,,,,,,,,,,
0,3.9,0,0,13.9,0,,,,,,,,,,,,
0,3.4,0,0,19.1,0,,,,,,,,,,,,
57,7.6,4.8,0,8.4,306.432,,,,,,,,,,,,
40,2.1,2,0,27.4,115.08,,,,,,,,,,,,
0,5.9,0,0,27.8,0,,,,,,,,,,,,
234,3.5,53.3,0,25.3,4719.715,,,,,,,,,,,,
61,4.7,20.8,0,33.7,3294.512,,,,,,,,,,,,
53,4.2,29.5,0,25.4,3147.06,,,,,,,,,,,,
114,4.2,29.5,0,25.4,3147.06,,,,,,,,,,,,
68,2.5,29.2,0,24.4,1781.2,,,,,,,,,,,,
0,4.5,0,0,13.4,0,,,,,,,,,,,,
96,4.7,20.8,0,33.7,3294.512,,,,,,,,,,,,
0,2.1,2,0,27.4,115.08,,,,,,,,,,,,
47,7.6,4.8,0,8.4,306.432,,,,,,,,,,,,
90,2.9,3.6,0,25.7,268.308,,,,,,,,,,,,
40,7.2,3.8,0,26.5,725.04,,,,,,,,,,,,
32,2.3,0,0,22.4,0,,,,,,,,,,,,
45,3,0.8,0,31.4,75.36,,,,,,,,,,,,
0,2.8,0,0,13.2,0,,,,,,,,,,,,
0,7.1,0,0,20.3,0,,,,,,,,,,,,
0,3.4,0,0,30,0,,,,,,,,,,,,
0,3.2,0,0,17.9,0,,,,,,,,,,,,
33,7.6,4.8,0,8.4,306.432,,,,,,,,,,,,
0,3.3,14.2,0,16.9,791.934,,,,,,,,,,,,
96,3.5,53.3,0,25.3,4719.715,,,,,,,,,,,,
47,5,14.5,0,16.4,1189,,,,,,,,,,,,
143,4.2,29.5,0,25.4,3147.06,,,,,,,,,,,,
