WeatherDelay,AWND,PCRP,SNOW,AVGT,CMPND
0,6.5,0,0,26.6,0
0,5.3,0,0,16.2,0
44,2.9,0,0,30.1,0
0,3.3,0,0,4.2,0
0,3.9,0,0,31.8,0
0,4.2,0,0,29,0
0,5.5,0,0,19.8,0
0,7.2,0,0,3.3,0
0,6.4,0,0,30.1,0
0,3.4,0,0,23,0
0,4.7,0,0,20.5,0
0,2.1,0,0,27.2,0
0,7.9,0,0,10.2,0
0,2.3,0,0,-0.1,0
0,4.8,0,0,16.4,0
0,4.6,0,0,10.2,0
0,7.6,0,0,31.2,0
0,3,0,0,28.4,0
0,2.9,0,0,17.7,0
31,3,46.2,0,23.4,3243.24
0,4.6,0,0,9.2,0
60,3.8,20.1,0,20.2,1542.876
0,2.9,0,0,21.4,0
48,3.9,2,0,25.9,202.02
0,5.6,0,0,9.3,0
0,5.6,0,0,16.9,0
0,4.2,0,0,10,0
45,7.1,3,0,22.6,481.38
0,2.3,0,0,22.4,0
443,2.5,29.2,0,24.4,1781.2
0,3.9,0,0,31.4,0
0,3.9,0,0,31.4,0
0,3,0,0,26.9,0
0,2.4,0,0,15,0
0,6.2,0,0,31.7,0
0,5.5,0,0,20,0
0,2.9,0.5,0,29.4,42.63
0,2.2,0,0,12.7,0
0,1.7,0,0,19,0
0,6.9,0,0,7.4,0
39,6.5,81.3,0,28.3,14955.135
0,4.6,0,0,32.9,0
0,8.3,0,0,30.6,0
0,4.3,0,0,22.3,0
0,6.4,0,0,13.7,0
0,7.2,0,0,23.9,0
0,4.2,0,0,20.6,0
32,4.7,24.6,0,18.5,2138.97
0,3.4,3,0,28,285.6
149,2.5,29.2,0,24.4,1781.2
0,6,0,0,32.2,0
60,7.6,4.8,0,8.4,306.432
0,5.2,0,0,31.7,0
0,2.1,0,0,17.5,0
184,4.7,24.6,0,18.5,2138.97
0,3.7,0,0,21.6,0
0,6.5,81.3,0,28.3,14955.135
0,4.9,0,0,12.9,0
0,4.1,0,0,33.3,0
0,4,0,0,1.9,0
58,4.7,20.8,0,33.7,3294.512
45,7.1,3,0,22.6,481.38
0,3.8,0.5,0,9.6,18.24
0,10.7,0,0,15.5,0
0,3.4,0,0,19.1,0
0,5.1,0,0,8.2,0
0,3.2,0,0,17.9,0
0,6.4,0,0,30.1,0
0,3,0,0,29.2,0
0,3.2,28.4,0,19.7,1790.336
0,5.2,0,0,31.7,0
