WeatherDelay,AWND,PCRP,SNOW,AVGT,CMPND
0,4.7,0,0,6.4,0
55,3,46.2,0,23.4,3243.24
70,3.6,10.2,0,26.3,965.736
0,3.9,0,0,-2.1,0
0,5.4,0,0,-2.8,0
139,2.1,2,0,27.4,115.08
81,3.5,53.3,0,25.3,4719.715
0,2.9,4.8,0,3.6,50.112
0,2.5,0,0,6.7,0
0,4.5,0,0,-2.8,0
0,6.4,0,0,-4.8,0
40,3.8,7.4,0,20.3,570.836
0,4.7,0,0,6.4,0
49,1.7,12.7,163,-0.3,156.523
94,2.5,29.2,0,24.4,1781.2
0,5.4,0,0,-2.8,0
0,2.5,0,0,6.7,0
0,4.5,0,0,-3.6,0
202,3,46.2,0,23.4,3243.24
0,4.7,0,0,6.4,0
0,2.5,0,0,6.7,0
53,4.7,24.6,0,18.5,2138.97
0,6.4,0,0,-4.8,0
0,5.4,0,0,-2.8,0
0,6.4,0,0,-4.8,0
0,2.5,0,0,6.7,0
0,4.7,0,0,6.4,0
0,6.4,0,0,-4.8,0
0,5.2,0,0,-2.9,0
0,2.5,0,0,6.7,0
59,3.5,53.3,0,25.3,4719.715
40,7.2,3.8,0,26.5,725.04
30,4.6,3,43,-6.4,-45.32
47,3.6,10.2,0,26.3,965.736
0,2.5,0,0,6.7,0
0,5.4,0,0,-2.8,0
71,2.2,10.9,0,24.3,582.714
0,6.4,0,0,-4.8,0
45,2.9,3.6,0,25.7,268.308
0,4.5,0,0,-3.6,0
0,4.7,0,0,6.4,0
0,4.7,0,0,6.4,0
130,4.6,1.8,0,25.3,209.484
26,5.2,0,0,-2.9,0
0,4.7,0,0,6.4,0
0,2.5,0,0,6.7,0
53,7.6,4.8,0,8.4,306.432
0,2.5,0,0,6.7,0
83,3,28.2,0,29.2,2470.32
0,3.9,0,0,-2.1,0
51,6.5,81.3,0,28.3,14955.135
0,5.2,0,0,-2.9,0
0,3.7,0,0,8.7,0
66,5.9,0,0,16.3,0
77,10.3,10.7,0,21.8,2402.578
0,4.5,0,0,-3.6,0
0,6.4,0,0,-4.8,0
0,3.3,0.3,0,2.2,2.178
55,4.7,24.6,0,18.5,2138.97
0,4.7,0,0,6.4,0
163,3,4.8,0,14.6,210.24
83,10.3,10.7,0,21.8,2402.578
16,4.5,0,0,-2.8,0
0,2.5,0,0,6.7,0
39,4.7,20.8,0,33.7,3294.512
0,4.5,0,0,-2.8,0
0,5.2,0,0,-2.9,0
38,2.5,29.2,0,24.4,1781.2
0,4.5,0,0,-2.8,0
74,3,28.2,0,29.2,2470.32
0,3.3,0.3,0,2.2,2.178
40,4.6,1.8,0,25.3,209.484
0,4.7,0,0,6.4,0
0,4.5,0,0,-2.8,0
0,3.7,0,0,8.7,0
101,4.2,29.5,0,25.4,3147.06
0,5.4,0,0,-2.8,0
0,2.5,0,0,6.7,0
72,4.7,20.8,0,33.7,3294.512
0,2.5,0,0,6.7,0
0,3.9,0,0,-2.1,0
30,3.5,2.5,0,-0.8,-7
106,3,46.2,0,23.4,3243.24
0,3.7,0,0,8.7,0
0,5.2,0,0,-2.9,0
0,4.5,0,0,-2.8,0
110,3,28.2,0,29.2,2470.32
0,5.2,0,0,-2.9,0
32,5.8,0,0,3.1,0
0,3.7,0,0,8.7,0
0,3.7,0,0,8.7,0
0,3.3,0.3,0,2.2,2.178
41,2.6,16.8,0,24.9,1087.632
170,3.5,53.3,0,25.3,4719.715
0,2.5,0,0,6.7,0
56,3.6,0,0,28.7,0
31,4.7,24.6,0,18.5,2138.97
43,4.9,0,0,22.2,0
0,5.4,0,0,-2.8,0
0,6.4,0,0,-4.8,0
0,3.9,0,0,-2.1,0
0,2.5,0,0,6.7,0
174,3.5,53.3,0,25.3,4719.715
421,3.7,0,0,21.7,0
0,5.4,0,0,-2.8,0
0,6.4,0,0,-4.8,0
72,4.7,20.8,0,33.7,3294.512
0,2.5,0,0,6.7,0
37,3.1,0.3,0,26.2,24.366
0,3.9,0,0,-2.1,0
85,3.6,0,0,30.7,0
0,4.7,0,0,6.4,0
75,1.7,12.7,163,-0.3,156.523
0,4.5,0,0,-3.6,0
0,5.2,0,0,-2.9,0
0,6.4,0,0,-4.8,0
0,3.9,0,0,-2.1,0
0,2.5,0,0,6.7,0
53,8,4.1,0,27.2,892.16
146,7.8,18.5,0,26.1,3766.23
96,3.4,3,0,28,285.6
0,2.5,0,0,6.7,0
0,4.5,0,0,-3.6,0
32,2.6,0,0,31.4,0
0,3.3,0.3,0,2.2,2.178
55,3.4,3,0,28,285.6
0,4.7,0,0,6.4,0
36,4.9,0,0,22.2,0
183,7.2,3.8,0,26.5,725.04
0,3.7,0,0,8.7,0
52,3.1,19.1,0,24.9,1474.329
40,3.7,14.2,0,22.6,1187.404
0,2.5,0,0,6.7,0
30,4.2,0,3,-14.1,3
31,5.9,0,0,16.3,0
41,3.4,3,0,28,285.6
57,3,14,0,21.2,890.4
48,4.9,0,0,22.2,0
50,2.2,10.9,0,24.3,582.714
0,5.4,0,0,-2.8,0
0,3.3,0.3,0,2.2,2.178
0,4.7,0,0,6.4,0
0,5.4,0,0,-2.8,0
0,4.5,0,0,-3.6,0
140,8,4.1,0,27.2,892.16
55,4.2,29.5,0,25.4,3147.06
105,3.5,53.3,0,25.3,4719.715
53,6.9,20.6,0,20.1,2857.014
0,3.7,0,0,8.7,0
39,2.1,2,0,27.4,115.08
0,2.5,0,0,6.7,0
0,2.9,4.8,0,3.6,50.112
0,4.7,0,0,6.4,0
0,5.4,0,0,-2.8,0
0,3.7,0,0,8.7,0
0,4.7,0,0,6.4,0
0,5.2,0,0,-2.9,0
0,3.9,0,0,-2.1,0
215,4.7,0.5,10,-4.6,-0.81
0,4.5,0,0,-2.8,0
0,3.9,0,0,-2.1,0
34,3,46.2,0,23.4,3243.24
0,2.5,0,0,6.7,0
0,6.4,0,0,-4.8,0
172,4.9,0,0,22.2,0
74,6.5,81.3,0,28.3,14955.135
0,5.2,0,0,-2.9,0
0,2.5,0,0,6.7,0
33,2.9,3.6,0,25.7,268.308
0,5.2,0,0,-2.9,0
0,5.2,0,0,-2.9,0
0,3.7,0,0,8.7,0
0,4.5,0,0,-2.8,0
80,5.6,2,0,20.6,230.72
43,1.7,12.7,163,-0.3,156.523
53,1.7,12.7,163,-0.3,156.523
78,5.1,21.3,0,28.6,3106.818
48,5.3,9.7,0,28.7,1475.467
0,2.5,0,0,6.7,0
0,3.3,0.3,0,2.2,2.178
0,5.4,0,0,-2.8,0
95,4.2,10.9,0,29.7,1359.666
0,5.2,0,0,-2.9,0
0,4.7,0,0,6.4,0
15,4.5,0,0,-2.8,0
0,4.7,0,0,6.4,0
75,5.1,21.3,0,28.6,3106.818
35,5.1,0.8,0,29.8,121.584
0,3.7,0,0,8.7,0
180,4.6,1.8,0,25.3,209.484
0,5.2,0,0,-2.9,0
0,4.7,0,0,6.4,0
40,3.1,19.1,0,24.9,1474.329
43,2,0,0,21.9,0
0,3.9,0,0,-2.1,0
0,4.5,0,0,-2.8,0
51,5.1,0.8,0,29.8,121.584
208,5.1,21.3,0,28.6,3106.818
0,5.2,0,0,-2.9,0
0,5.2,0,0,-2.9,0
0,4.7,0,0,6.4,0
0,4.5,0,0,-2.8,0
54,8,4.1,0,27.2,892.16
0,3.7,0,0,8.7,0
